years,value,spend_unit,visit_night_unit,breakdown_of_domestic_tourism,region_of_residence
2016-2018,574,NA,Thousand,Visits,All of GB
2011-2013,948,NA,Thousand,Nights,England
2015-2017,1740,NA,Thousand,Nights,All of GB
2014-2016,292,NA,Thousand,Visits,England
2011-2013,315,NA,Thousand,Visits,England
2013-2015,158,million (£),NA,Expenditure,All of GB
2014-2016,96,million (£),NA,Expenditure,England
2017-2019,223,NA,Thousand,Visits,England
2012-2014,63,million (£),NA,Expenditure,Scotland
2010-2012,77,million (£),NA,Expenditure,England
2009-2011,295,NA,Thousand,Visits,England
2016-2018,262,NA,Thousand,Visits,England
2009-2011,409,NA,Thousand,Visits,Scotland
2011-2013,162,million (£),NA,Expenditure,All of GB
2015-2017,86,million (£),NA,Expenditure,England
2016-2018,300,NA,Thousand,Visits,Scotland
2012-2014,718,NA,Thousand,Visits,All of GB
2015-2017,309,NA,Thousand,Visits,Scotland
2010-2012,159,million (£),NA,Expenditure,All of GB
2017-2019,317,NA,Thousand,Visits,Scotland
2012-2014,83,million (£),NA,Expenditure,England
2011-2013,87,million (£),NA,Expenditure,England
2012-2014,148,million (£),NA,Expenditure,All of GB
2013-2015,328,NA,Thousand,Visits,Scotland
2016-2018,924,NA,Thousand,Nights,England
2013-2015,661,NA,Thousand,Visits,All of GB
2017-2019,543,NA,Thousand,Visits,All of GB
2015-2017,270,NA,Thousand,Visits,England
2013-2015,102,million (£),NA,Expenditure,England
2009-2011,164,million (£),NA,Expenditure,All of GB
2016-2018,64,million (£),NA,Expenditure,England
2009-2011,64,million (£),NA,Expenditure,Scotland
2010-2012,443,NA,Thousand,Visits,Scotland
2016-2018,58,million (£),NA,Expenditure,Scotland
2011-2013,781,NA,Thousand,Visits,All of GB
2010-2012,70,million (£),NA,Expenditure,Scotland
2014-2016,850,NA,Thousand,Nights,Scotland
2009-2011,1066,NA,Thousand,Nights,England
2013-2015,1847,NA,Thousand,Nights,All of GB
2017-2019,683,NA,Thousand,Nights,Scotland
2014-2016,996,NA,Thousand,Nights,England
2012-2014,911,NA,Thousand,Nights,England
2012-2014,1779,NA,Thousand,Nights,All of GB
2017-2019,54,million (£),NA,Expenditure,Scotland
2011-2013,924,NA,Thousand,Nights,Scotland
2010-2012,887,NA,Thousand,Nights,England
2015-2017,725,NA,Thousand,Nights,Scotland
2014-2016,1952,NA,Thousand,Nights,All of GB
2016-2018,1677,NA,Thousand,Nights,All of GB
2009-2011,942,NA,Thousand,Nights,Scotland
2013-2015,723,NA,Thousand,Nights,Scotland
2009-2011,2157,NA,Thousand,Nights,All of GB
2015-2017,63,million (£),NA,Expenditure,Scotland
2017-2019,56,million (£),NA,Expenditure,England
2013-2015,325,NA,Thousand,Visits,England
2015-2017,911,NA,Thousand,Nights,England
2017-2019,1546,NA,Thousand,Nights,All of GB
2010-2012,997,NA,Thousand,Nights,Scotland
2010-2012,2004,NA,Thousand,Nights,All of GB
2010-2012,274,NA,Thousand,Visits,England
2015-2017,592,NA,Thousand,Visits,All of GB
2013-2015,1077,NA,Thousand,Nights,England
2011-2013,65,million (£),NA,Expenditure,Scotland
2009-2011,86,million (£),NA,Expenditure,England
2012-2014,313,NA,Thousand,Visits,England
2017-2019,844,NA,Thousand,Nights,England
2014-2016,332,NA,Thousand,Visits,Scotland
2014-2016,639,NA,Thousand,Visits,All of GB
2014-2016,64,million (£),NA,Expenditure,Scotland
2011-2013,1980,NA,Thousand,Nights,All of GB
2012-2014,856,NA,Thousand,Nights,Scotland
2016-2018,689,NA,Thousand,Nights,Scotland
2009-2011,44,million (£),NA,Expenditure,All of GB
2009-2011,598,NA,Thousand,Nights,Scotland
2009-2011,20,million (£),NA,Expenditure,England
2009-2011,23,million (£),NA,Expenditure,Scotland
2010-2012,693,NA,Thousand,Nights,Scotland
2009-2011,517,NA,Thousand,Nights,England
2015-2017,25,million (£),NA,Expenditure,Scotland
2015-2017,91,NA,Thousand,Visits,England
2010-2012,81,NA,Thousand,Visits,England
2012-2014,387,NA,Thousand,Visits,All of GB
2013-2015,547,NA,Thousand,Nights,England
2015-2017,241,NA,Thousand,Visits,All of GB
2012-2014,46,million (£),NA,Expenditure,Scotland
2010-2012,18,million (£),NA,Expenditure,England
2011-2013,23,million (£),NA,Expenditure,England
2014-2016,307,NA,Thousand,Nights,England
2017-2019,415,NA,Thousand,Nights,England
2010-2012,1111,NA,Thousand,Nights,All of GB
2013-2015,794,NA,Thousand,Nights,Scotland
2012-2014,67,million (£),NA,Expenditure,All of GB
2009-2011,202,NA,Thousand,Visits,Scotland
2010-2012,271,NA,Thousand,Visits,Scotland
2010-2012,32,million (£),NA,Expenditure,Scotland
2009-2011,1156,NA,Thousand,Nights,All of GB
2017-2019,1254,NA,Thousand,Nights,All of GB
2011-2013,386,NA,Thousand,Visits,All of GB
2015-2017,433,NA,Thousand,Nights,England
2016-2018,111,NA,Thousand,Visits,England
2011-2013,99,NA,Thousand,Visits,England
2011-2013,61,million (£),NA,Expenditure,All of GB
2017-2019,16,million (£),NA,Expenditure,England
2014-2016,55,million (£),NA,Expenditure,All of GB
2013-2015,20,million (£),NA,Expenditure,England
2017-2019,34,million (£),NA,Expenditure,Scotland
2013-2015,85,NA,Thousand,Visits,England
2010-2012,51,million (£),NA,Expenditure,All of GB
2012-2014,20,million (£),NA,Expenditure,England
2011-2013,37,million (£),NA,Expenditure,Scotland
2017-2019,52,million (£),NA,Expenditure,All of GB
2016-2018,1182,NA,Thousand,Nights,All of GB
2014-2016,18,million (£),NA,Expenditure,England
2016-2018,53,million (£),NA,Expenditure,All of GB
2011-2013,839,NA,Thousand,Nights,Scotland
2015-2017,51,million (£),NA,Expenditure,All of GB
2011-2013,1489,NA,Thousand,Nights,All of GB
2016-2018,22,million (£),NA,Expenditure,England
2016-2018,326,NA,Thousand,Visits,All of GB
2017-2019,100,NA,Thousand,Visits,England
2010-2012,393,NA,Thousand,Nights,England
2014-2016,36,million (£),NA,Expenditure,Scotland
2016-2018,587,NA,Thousand,Nights,Scotland
2014-2016,272,NA,Thousand,Visits,All of GB
2016-2018,202,NA,Thousand,Visits,Scotland
2017-2019,707,NA,Thousand,Nights,Scotland
2011-2013,624,NA,Thousand,Nights,England
2014-2016,63,NA,Thousand,Visits,England
2014-2016,613,NA,Thousand,Nights,Scotland
2013-2015,228,NA,Thousand,Visits,Scotland
2009-2011,106,NA,Thousand,Visits,England
2012-2014,911,NA,Thousand,Nights,Scotland
2016-2018,29,million (£),NA,Expenditure,Scotland
2011-2013,285,NA,Thousand,Visits,Scotland
2015-2017,25,million (£),NA,Expenditure,England
2014-2016,203,NA,Thousand,Visits,Scotland
2009-2011,314,NA,Thousand,Visits,All of GB
2016-2018,450,NA,Thousand,Nights,England
2013-2015,1346,NA,Thousand,Nights,All of GB
2013-2015,37,million (£),NA,Expenditure,Scotland
2013-2015,316,NA,Thousand,Visits,All of GB
2015-2017,472,NA,Thousand,Nights,Scotland
2012-2014,82,NA,Thousand,Visits,England
2012-2014,1465,NA,Thousand,Nights,All of GB
2017-2019,364,NA,Thousand,Visits,All of GB
2014-2016,938,NA,Thousand,Nights,All of GB
2012-2014,303,NA,Thousand,Visits,Scotland
2017-2019,253,NA,Thousand,Visits,Scotland
2015-2017,925,NA,Thousand,Nights,All of GB
2012-2014,548,NA,Thousand,Nights,England
2013-2015,58,million (£),NA,Expenditure,All of GB
2010-2012,355,NA,Thousand,Visits,All of GB
2015-2017,145,NA,Thousand,Visits,Scotland
2016-2018,324,NA,Thousand,Visits,England
2013-2015,1726,NA,Thousand,Nights,England
2017-2019,88,million (£),NA,Expenditure,Scotland
2017-2019,1770,NA,Thousand,Nights,England
2012-2014,1601,NA,Thousand,Nights,England
2017-2019,199,million (£),NA,Expenditure,All of GB
2009-2011,860,NA,Thousand,Visits,All of GB
2014-2016,334,NA,Thousand,Visits,England
2012-2014,3317,NA,Thousand,Nights,All of GB
2010-2012,92,million (£),NA,Expenditure,Scotland
2014-2016,1596,NA,Thousand,Nights,England
2016-2018,2824,NA,Thousand,Nights,All of GB
2017-2019,491,NA,Thousand,Visits,Scotland
2012-2014,1635,NA,Thousand,Nights,Scotland
2014-2016,834,NA,Thousand,Visits,All of GB
2016-2018,731,NA,Thousand,Visits,All of GB
2014-2016,211,million (£),NA,Expenditure,All of GB
2014-2016,1493,NA,Thousand,Nights,Scotland
2017-2019,846,NA,Thousand,Visits,All of GB
2016-2018,167,million (£),NA,Expenditure,All of GB
2015-2017,117,million (£),NA,Expenditure,England
2012-2014,92,million (£),NA,Expenditure,Scotland
2010-2012,178,million (£),NA,Expenditure,All of GB
2012-2014,193,million (£),NA,Expenditure,All of GB
2014-2016,3181,NA,Thousand,Nights,All of GB
2010-2012,509,NA,Thousand,Visits,Scotland
2013-2015,1813,NA,Thousand,Nights,Scotland
2013-2015,113,million (£),NA,Expenditure,England
2015-2017,208,million (£),NA,Expenditure,All of GB
2009-2011,186,million (£),NA,Expenditure,All of GB
2013-2015,3631,NA,Thousand,Nights,All of GB
2011-2013,89,million (£),NA,Expenditure,Scotland
2013-2015,224,million (£),NA,Expenditure,All of GB
2015-2017,90,million (£),NA,Expenditure,Scotland
2013-2015,891,NA,Thousand,Visits,All of GB
2016-2018,97,million (£),NA,Expenditure,England
2014-2016,473,NA,Thousand,Visits,Scotland
2009-2011,92,million (£),NA,Expenditure,England
2012-2014,821,NA,Thousand,Visits,All of GB
2015-2017,365,NA,Thousand,Visits,England
2010-2012,831,NA,Thousand,Visits,All of GB
2010-2012,1419,NA,Thousand,Nights,England
2016-2018,68,million (£),NA,Expenditure,Scotland
2016-2018,402,NA,Thousand,Visits,Scotland
2017-2019,1626,NA,Thousand,Nights,Scotland
2011-2013,84,million (£),NA,Expenditure,England
2009-2011,1851,NA,Thousand,Nights,Scotland
2011-2013,331,NA,Thousand,Visits,England
2011-2013,178,million (£),NA,Expenditure,All of GB
2015-2017,814,NA,Thousand,Visits,All of GB
2009-2011,3573,NA,Thousand,Nights,All of GB
2010-2012,307,NA,Thousand,Visits,England
2015-2017,1417,NA,Thousand,Nights,Scotland
2017-2019,3411,NA,Thousand,Nights,All of GB
2011-2013,3456,NA,Thousand,Nights,All of GB
2012-2014,332,NA,Thousand,Visits,England
2011-2013,1713,NA,Thousand,Nights,Scotland
2017-2019,108,million (£),NA,Expenditure,England
2009-2011,532,NA,Thousand,Visits,Scotland
2015-2017,3133,NA,Thousand,Nights,All of GB
2015-2017,443,NA,Thousand,Visits,Scotland
2013-2015,531,NA,Thousand,Visits,Scotland
2012-2014,464,NA,Thousand,Visits,Scotland
2012-2014,95,million (£),NA,Expenditure,England
2013-2015,107,million (£),NA,Expenditure,Scotland
2014-2016,93,million (£),NA,Expenditure,Scotland
2009-2011,89,million (£),NA,Expenditure,Scotland
2011-2013,451,NA,Thousand,Visits,Scotland
2011-2013,1686,NA,Thousand,Nights,England
2016-2018,1503,NA,Thousand,Nights,England
2016-2018,1312,NA,Thousand,Nights,Scotland
2014-2016,114,million (£),NA,Expenditure,England
2009-2011,1651,NA,Thousand,Nights,England
2010-2012,3341,NA,Thousand,Nights,All of GB
2013-2015,333,NA,Thousand,Visits,England
2010-2012,80,million (£),NA,Expenditure,England
2017-2019,348,NA,Thousand,Visits,England
2011-2013,795,NA,Thousand,Visits,All of GB
2015-2017,1677,NA,Thousand,Nights,England
2009-2011,315,NA,Thousand,Visits,England
2010-2012,1832,NA,Thousand,Nights,Scotland
2016-2018,6239,NA,Thousand,Nights,All of GB
2016-2018,1678,NA,Thousand,Visits,England
2013-2015,140,million (£),NA,Expenditure,Scotland
2009-2011,634,NA,Thousand,Visits,Scotland
2009-2011,496,million (£),NA,Expenditure,All of GB
2015-2017,752,million (£),NA,Expenditure,All of GB
2017-2019,6671,NA,Thousand,Nights,All of GB
2011-2013,2323,NA,Thousand,Visits,All of GB
2012-2014,595,million (£),NA,Expenditure,All of GB
2016-2018,683,NA,Thousand,Visits,Scotland
2017-2019,160,million (£),NA,Expenditure,Scotland
2015-2017,1741,NA,Thousand,Visits,England
2009-2011,5246,NA,Thousand,Nights,All of GB
2010-2012,1500,NA,Thousand,Visits,England
2014-2016,647,million (£),NA,Expenditure,All of GB
2015-2017,649,NA,Thousand,Visits,Scotland
2016-2018,568,million (£),NA,Expenditure,England
2014-2016,498,million (£),NA,Expenditure,England
2011-2013,731,NA,Thousand,Visits,Scotland
2010-2012,666,NA,Thousand,Visits,Scotland
2017-2019,1701,NA,Thousand,Visits,England
2009-2011,1409,NA,Thousand,Visits,England
2011-2013,1528,NA,Thousand,Visits,England
2010-2012,571,million (£),NA,Expenditure,All of GB
2016-2018,1239,NA,Thousand,Nights,Scotland
2016-2018,2449,NA,Thousand,Visits,All of GB
2012-2014,1497,NA,Thousand,Visits,England
2014-2016,140,million (£),NA,Expenditure,Scotland
2012-2014,1265,NA,Thousand,Nights,Scotland
2009-2011,97,million (£),NA,Expenditure,Scotland
2011-2013,5798,NA,Thousand,Nights,All of GB
2015-2017,2435,NA,Thousand,Visits,All of GB
2014-2016,5793,NA,Thousand,Nights,All of GB
2017-2019,803,NA,Thousand,Visits,Scotland
2009-2011,3799,NA,Thousand,Nights,England
2010-2012,4015,NA,Thousand,Nights,England
2010-2012,5636,NA,Thousand,Nights,All of GB
2017-2019,4859,NA,Thousand,Nights,England
2010-2012,111,million (£),NA,Expenditure,Scotland
2016-2018,129,million (£),NA,Expenditure,Scotland
2011-2013,4189,NA,Thousand,Nights,England
2014-2016,2301,NA,Thousand,Visits,All of GB
2013-2015,5755,NA,Thousand,Nights,All of GB
2017-2019,728,million (£),NA,Expenditure,All of GB
2013-2015,4307,NA,Thousand,Nights,England
2017-2019,2607,NA,Thousand,Visits,All of GB
2011-2013,608,million (£),NA,Expenditure,All of GB
2015-2017,598,million (£),NA,Expenditure,England
2017-2019,1537,NA,Thousand,Nights,Scotland
2013-2015,2276,NA,Thousand,Visits,All of GB
2012-2014,447,million (£),NA,Expenditure,England
2010-2012,1282,NA,Thousand,Nights,Scotland
2011-2013,119,million (£),NA,Expenditure,Scotland
2012-2014,5727,NA,Thousand,Nights,All of GB
2014-2016,4367,NA,Thousand,Nights,England
2015-2017,6321,NA,Thousand,Nights,All of GB
2014-2016,1283,NA,Thousand,Nights,Scotland
2011-2013,458,million (£),NA,Expenditure,England
2013-2015,466,million (£),NA,Expenditure,England
2012-2014,2277,NA,Thousand,Visits,All of GB
2015-2017,1282,NA,Thousand,Nights,Scotland
2012-2014,125,million (£),NA,Expenditure,Scotland
2016-2018,4729,NA,Thousand,Nights,England
2009-2011,1229,NA,Thousand,Nights,Scotland
2011-2013,1293,NA,Thousand,Nights,Scotland
2012-2014,700,NA,Thousand,Visits,Scotland
2014-2016,1575,NA,Thousand,Visits,England
2013-2015,1527,NA,Thousand,Visits,England
2010-2012,2230,NA,Thousand,Visits,All of GB
2009-2011,2093,NA,Thousand,Visits,All of GB
2013-2015,692,NA,Thousand,Visits,Scotland
2009-2011,381,million (£),NA,Expenditure,England
2017-2019,544,million (£),NA,Expenditure,England
2013-2015,619,million (£),NA,Expenditure,All of GB
2012-2014,4179,NA,Thousand,Nights,England
2016-2018,717,million (£),NA,Expenditure,All of GB
2014-2016,672,NA,Thousand,Visits,Scotland
2015-2017,144,million (£),NA,Expenditure,Scotland
2010-2012,434,million (£),NA,Expenditure,England
2015-2017,4861,NA,Thousand,Nights,England
2013-2015,1339,NA,Thousand,Nights,Scotland
2012-2014,20,million (£),NA,Expenditure,All of GB
2017-2019,3,million (£),NA,Expenditure,Scotland
2012-2014,12,million (£),NA,Expenditure,Scotland
2009-2011,2,million (£),NA,Expenditure,Scotland
2011-2013,11,million (£),NA,Expenditure,Scotland
2017-2019,34,NA,Thousand,Visits,Scotland
2015-2017,44,NA,Thousand,Visits,England
2014-2016,51,NA,Thousand,Visits,All of GB
2015-2017,11,million (£),NA,Expenditure,All of GB
2016-2018,179,NA,Thousand,Nights,All of GB
2014-2016,18,NA,Thousand,Visits,Scotland
2017-2019,8,million (£),NA,Expenditure,All of GB
2017-2019,68,NA,Thousand,Visits,All of GB
2010-2012,195,NA,Thousand,Nights,All of GB
2014-2016,5,million (£),NA,Expenditure,Scotland
2016-2018,111,NA,Thousand,Nights,England
2012-2014,200,NA,Thousand,Nights,All of GB
2011-2013,232,NA,Thousand,Nights,All of GB
2010-2012,115,NA,Thousand,Nights,England
2011-2013,7,million (£),NA,Expenditure,England
2013-2015,6,million (£),NA,Expenditure,England
2014-2016,12,million (£),NA,Expenditure,All of GB
2009-2011,5,million (£),NA,Expenditure,England
2014-2016,33,NA,Thousand,Visits,England
2013-2015,29,NA,Thousand,Visits,England
2010-2012,77,NA,Thousand,Nights,Scotland
2011-2013,18,million (£),NA,Expenditure,All of GB
2017-2019,70,NA,Thousand,Nights,England
2010-2012,6,million (£),NA,Expenditure,England
2014-2016,7,million (£),NA,Expenditure,England
2017-2019,58,NA,Thousand,Nights,Scotland
2016-2018,40,NA,Thousand,Visits,England
2013-2015,89,NA,Thousand,Nights,Scotland
2013-2015,80,NA,Thousand,Nights,England
2015-2017,141,NA,Thousand,Nights,England
2010-2012,8,million (£),NA,Expenditure,All of GB
2009-2011,86,NA,Thousand,Nights,Scotland
2014-2016,167,NA,Thousand,Nights,All of GB
2013-2015,14,million (£),NA,Expenditure,Scotland
2015-2017,4,million (£),NA,Expenditure,Scotland
2015-2017,18,NA,Thousand,Visits,Scotland
2011-2013,105,NA,Thousand,Visits,All of GB
2009-2011,30,NA,Thousand,Visits,England
2017-2019,128,NA,Thousand,Nights,All of GB
2010-2012,47,NA,Thousand,Visits,Scotland
2010-2012,37,NA,Thousand,Visits,England
2016-2018,69,NA,Thousand,Nights,Scotland
2010-2012,85,NA,Thousand,Visits,All of GB
2011-2013,117,NA,Thousand,Nights,Scotland
2012-2014,8,million (£),NA,Expenditure,England
2017-2019,6,million (£),NA,Expenditure,England
2016-2018,6,million (£),NA,Expenditure,England
2012-2014,92,NA,Thousand,Nights,Scotland
2012-2014,87,NA,Thousand,Visits,All of GB
2011-2013,114,NA,Thousand,Nights,England
2009-2011,84,NA,Thousand,Visits,All of GB
2011-2013,33,NA,Thousand,Visits,England
2012-2014,108,NA,Thousand,Nights,England
2012-2014,58,NA,Thousand,Visits,Scotland
2017-2019,35,NA,Thousand,Visits,England
2010-2012,2,million (£),NA,Expenditure,Scotland
2014-2016,120,NA,Thousand,Nights,England
2009-2011,7,million (£),NA,Expenditure,All of GB
2015-2017,55,NA,Thousand,Nights,Scotland
2013-2015,48,NA,Thousand,Visits,Scotland
2013-2015,169,NA,Thousand,Nights,All of GB
2009-2011,167,NA,Thousand,Nights,All of GB
2015-2017,7,million (£),NA,Expenditure,England
2015-2017,62,NA,Thousand,Visits,All of GB
2013-2015,20,million (£),NA,Expenditure,All of GB
2016-2018,8,million (£),NA,Expenditure,All of GB
2013-2015,77,NA,Thousand,Visits,All of GB
2011-2013,72,NA,Thousand,Visits,Scotland
2015-2017,195,NA,Thousand,Nights,All of GB
2012-2014,29,NA,Thousand,Visits,England
2016-2018,2,million (£),NA,Expenditure,Scotland
2009-2011,77,NA,Thousand,Nights,England
2016-2018,71,NA,Thousand,Visits,All of GB
2014-2016,46,NA,Thousand,Nights,Scotland
2009-2011,52,NA,Thousand,Visits,Scotland
2016-2018,31,NA,Thousand,Visits,Scotland
2010-2012,74,NA,Thousand,Visits,England
2013-2015,10,million (£),NA,Expenditure,Scotland
2014-2016,23,million (£),NA,Expenditure,All of GB
2015-2017,9,million (£),NA,Expenditure,Scotland
2012-2014,12,million (£),NA,Expenditure,Scotland
2013-2015,86,NA,Thousand,Visits,Scotland
2013-2015,24,million (£),NA,Expenditure,All of GB
2014-2016,9,million (£),NA,Expenditure,Scotland
2014-2016,126,NA,Thousand,Visits,All of GB
2009-2011,20,million (£),NA,Expenditure,Scotland
2011-2013,16,million (£),NA,Expenditure,Scotland
2011-2013,186,NA,Thousand,Visits,All of GB
2010-2012,33,million (£),NA,Expenditure,All of GB
2009-2011,158,NA,Thousand,Visits,Scotland
2017-2019,10,million (£),NA,Expenditure,Scotland
2014-2016,74,NA,Thousand,Visits,Scotland
2016-2018,26,NA,Thousand,Visits,England
2010-2012,127,NA,Thousand,Visits,Scotland
2011-2013,27,million (£),NA,Expenditure,All of GB
2015-2017,127,NA,Thousand,Visits,All of GB
2017-2019,77,NA,Thousand,Visits,Scotland
2016-2018,117,NA,Thousand,Visits,All of GB
2017-2019,12,million (£),NA,Expenditure,England
2013-2015,50,NA,Thousand,Visits,England
2015-2017,46,NA,Thousand,Visits,England
2009-2011,34,million (£),NA,Expenditure,All of GB
2016-2018,6,million (£),NA,Expenditure,England
2012-2014,131,NA,Thousand,Visits,All of GB
2012-2014,7,million (£),NA,Expenditure,England
2009-2011,13,million (£),NA,Expenditure,England
2014-2016,12,million (£),NA,Expenditure,England
2010-2012,12,million (£),NA,Expenditure,England
2011-2013,59,NA,Thousand,Visits,England
2015-2017,409,NA,Thousand,Nights,All of GB
2011-2013,256,NA,Thousand,Nights,England
2011-2013,358,NA,Thousand,Nights,Scotland
2015-2017,82,NA,Thousand,Visits,Scotland
2016-2018,224,NA,Thousand,Nights,Scotland
2012-2014,42,NA,Thousand,Visits,England
2009-2011,237,NA,Thousand,Visits,All of GB
2017-2019,124,NA,Thousand,Visits,All of GB
2010-2012,206,NA,Thousand,Visits,All of GB
2016-2018,17,million (£),NA,Expenditure,All of GB
2017-2019,22,million (£),NA,Expenditure,All of GB
2014-2016,48,NA,Thousand,Visits,England
2009-2011,69,NA,Thousand,Visits,England
2013-2015,13,million (£),NA,Expenditure,England
2017-2019,44,NA,Thousand,Visits,England
2011-2013,11,million (£),NA,Expenditure,England
2013-2015,139,NA,Thousand,Visits,All of GB
2015-2017,13,million (£),NA,Expenditure,England
2012-2014,282,NA,Thousand,Nights,Scotland
2017-2019,122,NA,Thousand,Nights,England
2011-2013,621,NA,Thousand,Nights,All of GB
2012-2014,155,NA,Thousand,Nights,England
2012-2014,451,NA,Thousand,Nights,All of GB
2014-2016,245,NA,Thousand,Nights,Scotland
2010-2012,833,NA,Thousand,Nights,All of GB
2009-2011,1064,NA,Thousand,Nights,All of GB
2017-2019,208,NA,Thousand,Nights,Scotland
2016-2018,330,NA,Thousand,Nights,All of GB
2014-2016,196,NA,Thousand,Nights,England
2013-2015,246,NA,Thousand,Nights,Scotland
2015-2017,193,NA,Thousand,Nights,England
2010-2012,492,NA,Thousand,Nights,Scotland
2013-2015,199,NA,Thousand,Nights,England
2010-2012,325,NA,Thousand,Nights,England
2012-2014,86,NA,Thousand,Visits,Scotland
2016-2018,103,NA,Thousand,Nights,England
2013-2015,460,NA,Thousand,Nights,All of GB
2014-2016,456,NA,Thousand,Nights,All of GB
2015-2017,216,NA,Thousand,Nights,Scotland
2009-2011,484,NA,Thousand,Nights,England
2017-2019,332,NA,Thousand,Nights,All of GB
2009-2011,540,NA,Thousand,Nights,Scotland
2012-2014,19,million (£),NA,Expenditure,All of GB
2010-2012,21,million (£),NA,Expenditure,Scotland
2015-2017,23,million (£),NA,Expenditure,All of GB
2016-2018,89,NA,Thousand,Visits,Scotland
2011-2013,125,NA,Thousand,Visits,Scotland
2016-2018,10,million (£),NA,Expenditure,Scotland
2010-2012,45,million (£),NA,Expenditure,All of GB
2017-2019,95,NA,Thousand,Visits,England
2017-2019,124,NA,Thousand,Visits,Scotland
2011-2013,118,NA,Thousand,Visits,England
2017-2019,23,million (£),NA,Expenditure,Scotland
2017-2019,46,million (£),NA,Expenditure,All of GB
2009-2011,455,NA,Thousand,Nights,England
2011-2013,46,million (£),NA,Expenditure,All of GB
2009-2011,186,NA,Thousand,Visits,Scotland
2015-2017,27,million (£),NA,Expenditure,England
2012-2014,31,million (£),NA,Expenditure,England
2012-2014,147,NA,Thousand,Visits,Scotland
2010-2012,21,million (£),NA,Expenditure,Scotland
2013-2015,46,million (£),NA,Expenditure,All of GB
2011-2013,414,NA,Thousand,Nights,Scotland
2010-2012,391,NA,Thousand,Nights,England
2009-2011,19,million (£),NA,Expenditure,Scotland
2013-2015,232,NA,Thousand,Visits,All of GB
2010-2012,191,NA,Thousand,Visits,Scotland
2015-2017,476,NA,Thousand,Nights,England
2012-2014,404,NA,Thousand,Nights,England
2016-2018,99,NA,Thousand,Visits,Scotland
2011-2013,306,NA,Thousand,Visits,All of GB
2009-2011,902,NA,Thousand,Nights,All of GB
2016-2018,772,NA,Thousand,Nights,All of GB
2010-2012,24,million (£),NA,Expenditure,England
2016-2018,19,million (£),NA,Expenditure,Scotland
2017-2019,368,NA,Thousand,Nights,England
2014-2016,24,million (£),NA,Expenditure,England
2014-2016,22,million (£),NA,Expenditure,Scotland
2010-2012,449,NA,Thousand,Nights,Scotland
2016-2018,114,NA,Thousand,Visits,England
2011-2013,27,million (£),NA,Expenditure,England
2015-2017,230,NA,Thousand,Nights,Scotland
2017-2019,319,NA,Thousand,Nights,Scotland
2012-2014,286,NA,Thousand,Nights,Scotland
2016-2018,27,million (£),NA,Expenditure,England
2016-2018,273,NA,Thousand,Nights,Scotland
2010-2012,320,NA,Thousand,Visits,All of GB
2014-2016,666,NA,Thousand,Nights,All of GB
2009-2011,438,NA,Thousand,Nights,Scotland
2010-2012,848,NA,Thousand,Nights,All of GB
2009-2011,21,million (£),NA,Expenditure,England
2015-2017,90,NA,Thousand,Visits,Scotland
2012-2014,276,NA,Thousand,Visits,All of GB
2013-2015,259,NA,Thousand,Nights,Scotland
2009-2011,114,NA,Thousand,Visits,England
2013-2015,612,NA,Thousand,Nights,All of GB
2016-2018,218,NA,Thousand,Visits,All of GB
2009-2011,305,NA,Thousand,Visits,All of GB
2014-2016,419,NA,Thousand,Nights,England
2014-2016,48,million (£),NA,Expenditure,All of GB
2011-2013,359,NA,Thousand,Nights,England
2009-2011,40,million (£),NA,Expenditure,All of GB
2013-2015,98,NA,Thousand,Visits,England
2013-2015,131,NA,Thousand,Visits,Scotland
2012-2014,127,NA,Thousand,Visits,England
2011-2013,186,NA,Thousand,Visits,Scotland
2010-2012,124,NA,Thousand,Visits,England
2011-2013,779,NA,Thousand,Nights,All of GB
2012-2014,53,million (£),NA,Expenditure,All of GB
2011-2013,19,million (£),NA,Expenditure,Scotland
2012-2014,696,NA,Thousand,Nights,All of GB
2015-2017,218,NA,Thousand,Visits,All of GB
2017-2019,222,NA,Thousand,Visits,All of GB
2016-2018,46,million (£),NA,Expenditure,All of GB
2014-2016,225,NA,Thousand,Nights,Scotland
2013-2015,339,NA,Thousand,Nights,England
2017-2019,691,NA,Thousand,Nights,All of GB
2015-2017,727,NA,Thousand,Nights,All of GB
2017-2019,22,million (£),NA,Expenditure,England
2014-2016,123,NA,Thousand,Visits,England
2015-2017,15,million (£),NA,Expenditure,Scotland
2012-2014,22,million (£),NA,Expenditure,Scotland
2014-2016,247,NA,Thousand,Visits,All of GB
2015-2017,44,million (£),NA,Expenditure,All of GB
2014-2016,116,NA,Thousand,Visits,Scotland
2016-2018,490,NA,Thousand,Nights,England
2013-2015,20,million (£),NA,Expenditure,Scotland
2015-2017,120,NA,Thousand,Visits,England
2013-2015,25,million (£),NA,Expenditure,England
2016-2018,0,NA,Thousand,Visits,England
2017-2019,3,NA,Thousand,Nights,England
2009-2011,10,NA,Thousand,Visits,Scotland
2013-2015,0,NA,Thousand,Visits,England
2012-2014,7,NA,Thousand,Visits,England
2016-2018,0,NA,Thousand,Nights,England
2009-2011,22,NA,Thousand,Nights,Scotland
2009-2011,10,NA,Thousand,Visits,All of GB
2011-2013,20,NA,Thousand,Visits,All of GB
2011-2013,7,NA,Thousand,Visits,England
2014-2016,3,NA,Thousand,Visits,Scotland
2011-2013,14,NA,Thousand,Nights,England
2010-2012,7,NA,Thousand,Visits,England
